signal_id,raw_name,stage,meaning,raw_unit,canonical_unit,conversion,mapping_status,controllable,evidence_ref
ht:density_15c,24-2000:D15,ht,Плотность при 15 °C,кг/м3,kg/m3,none,confirmed,false,materials/Выгрузка ПАК 01.01.2023 - н.в_.xlsx#rows=1:2
ht:2:Mg.Sulfur,24-2000:Mg.Sulfur,ht,Содержание серы в гидроочищенном дизельном топливе,ppm,mg/kg,ppm_mass_to_mg_kg,confirmed,false,materials/Выгрузка ПАК 01.01.2023 - н.в_.xlsx#rows=1:2;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:D10,avt:D10,avt,Плотность. Тр-д подачи обессолен. и обезвожен. Нефти,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F12,avt:F12,avt,Расход 2 ЦО в К2,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F14,avt:F14,avt,Расход 1 ЦО в К2,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F16,avt:F16,avt,Расход бензина от Н4 в Е6,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F19,avt:F19,avt,Расход остр.орошения К2,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F25,avt:F25,avt,Расход бензина после Т26,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F26,avt:F26,avt,Расход пара в К6,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F27,avt:F27,avt,Расход пара в К7,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F28,avt:F28,avt,Расход пара в К9,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F29,avt:F29,avt,Расход пара в К2,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F3,avt:F3,avt,Расход бензина на орошение К1,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F30,avt:F30,avt,Расход фр.290-350°С с установки,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
avt:F31,avt:F31,avt,Расход нефтепродукта в П3,,unknown,none,confirmed,false,materials/Теги_хакатон.xlsx#КИП;DESIGN.md#16-подтверждения-экспертов-от-10092026
